"Name","PassengerId","Survived","Sex","Pclass","Fare"
"Kelly, Mr. James",892,"0","male",3,7.8292
"Wilkes, Mrs. James (Ellen Needs)",893,"0","female",3,7
"Myles, Mr. Thomas Francis",894,"0","male",2,9.6875
"Wirz, Mr. Albert",895,"0","male",3,8.6625
"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",896,"1","female",3,12.2875
"Svensson, Mr. Johan Cervin",897,"0","male",3,9.225
"Connolly, Miss. Kate",898,"1","female",3,7.6292
"Caldwell, Mr. Albert Francis",899,"0","male",2,29
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",900,"1","female",3,7.2292
"Davies, Mr. John Samuel",901,"0","male",3,24.15
"Ilieff, Mr. Ylio",902,"0","male",3,7.8958
"Jones, Mr. Charles Cresson",903,"0","male",1,26
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",904,"1","female",1,82.2667
"Howard, Mr. Benjamin",905,"0","male",2,26
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",906,"1","female",1,61.175
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",907,"1","female",2,27.7208
"Keane, Mr. Daniel",908,"0","male",2,12.35
"Assaf, Mr. Gerios",909,"0","male",3,7.225
"Ilmakangas, Miss. Ida Livija",910,"0","female",3,7.925
"Assaf Khalil, Mrs. Mariana (Miriam"")""",911,"1","female",3,7.225
"Rothschild, Mr. Martin",912,"0","male",1,59.4
"Olsen, Master. Artur Karl",913,"0","male",3,3.1708
"Flegenheim, Mrs. Alfred (Antoinette)",914,"1","female",1,31.6833
"Williams, Mr. Richard Norris II",915,"0","male",1,61.3792
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",916,"1","female",1,262.375
"Robins, Mr. Alexander A",917,"0","male",3,14.5
"Ostby, Miss. Helene Ragnhild",918,"1","female",1,61.9792
"Daher, Mr. Shedid",919,"0","male",3,7.225
"Brady, Mr. John Bertram",920,"0","male",1,30.5
"Samaan, Mr. Elias",921,"0","male",3,21.6792
"Louch, Mr. Charles Alexander",922,"0","male",2,26
"Jefferys, Mr. Clifford Thomas",923,"0","male",2,31.5
"Dean, Mrs. Bertram (Eva Georgetta Light)",924,"0","female",3,20.575
"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",925,"0","female",3,23.45
"Mock, Mr. Philipp Edmund",926,"0","male",1,57.75
"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",927,"0","male",3,7.2292
"Roth, Miss. Sarah A",928,"0","female",3,8.05
"Cacic, Miss. Manda",929,"0","female",3,8.6625
"Sap, Mr. Julius",930,"0","male",3,9.5
"Hee, Mr. Ling",931,"0","male",3,56.4958
"Karun, Mr. Franz",932,"0","male",3,13.4167
"Franklin, Mr. Thomas Parham",933,"0","male",1,26.55
"Goldsmith, Mr. Nathan",934,"0","male",3,7.85
"Corbett, Mrs. Walter H (Irene Colvin)",935,"1","female",2,13
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",936,"1","female",1,52.5542
"Peltomaki, Mr. Nikolai Johannes",937,"0","male",3,7.925
"Chevre, Mr. Paul Romaine",938,"0","male",1,29.7
"Shaughnessy, Mr. Patrick",939,"0","male",3,7.75
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",940,"1","female",1,76.2917
"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",941,"1","female",3,15.9
"Smith, Mr. Lucien Philip",942,"0","male",1,60
"Pulbaum, Mr. Franz",943,"0","male",2,15.0333
"Hocking, Miss. Ellen Nellie""""",944,"1","female",2,23
"Fortune, Miss. Ethel Flora",945,"1","female",1,263
"Mangiavacchi, Mr. Serafino Emilio",946,"0","male",2,15.5792
"Rice, Master. Albert",947,"0","male",3,29.125
"Cor, Mr. Bartol",948,"0","male",3,7.8958
"Abelseth, Mr. Olaus Jorgensen",949,"0","male",3,7.65
"Davison, Mr. Thomas Henry",950,"0","male",3,16.1
"Chaudanson, Miss. Victorine",951,"1","female",1,262.375
"Dika, Mr. Mirko",952,"0","male",3,7.8958
"McCrae, Mr. Arthur Gordon",953,"0","male",2,13.5
"Bjorklund, Mr. Ernst Herbert",954,"0","male",3,7.75
"Bradley, Miss. Bridget Delia",955,"1","female",3,7.725
"Ryerson, Master. John Borie",956,"0","male",1,262.375
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",957,"1","female",2,21
"Burns, Miss. Mary Delia",958,"1","female",3,7.8792
"Moore, Mr. Clarence Bloomfield",959,"0","male",1,42.4
"Tucker, Mr. Gilbert Milligan Jr",960,"0","male",1,28.5375
"Fortune, Mrs. Mark (Mary McDougald)",961,"1","female",1,263
"Mulvihill, Miss. Bertha E",962,"1","female",3,7.75
"Minkoff, Mr. Lazar",963,"0","male",3,7.8958
"Nieminen, Miss. Manta Josefina",964,"0","female",3,7.925
"Ovies y Rodriguez, Mr. Servando",965,"0","male",1,27.7208
"Geiger, Miss. Amalie",966,"1","female",1,211.5
"Keeping, Mr. Edwin",967,"0","male",1,211.5
"Miles, Mr. Frank",968,"0","male",3,8.05
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",969,"1","female",1,25.7
"Aldworth, Mr. Charles Augustus",970,"0","male",2,13
"Doyle, Miss. Elizabeth",971,"1","female",3,7.75
"Boulos, Master. Akar",972,"1","male",3,15.2458
"Straus, Mr. Isidor",973,"0","male",1,221.7792
"Case, Mr. Howard Brown",974,"0","male",1,26
"Demetri, Mr. Marinko",975,"0","male",3,7.8958
"Lamb, Mr. John Joseph",976,"0","male",2,10.7083
"Khalil, Mr. Betros",977,"0","male",3,14.4542
"Barry, Miss. Julia",978,"1","female",3,7.8792
"Badman, Miss. Emily Louisa",979,"0","female",3,8.05
"O'Donoghue, Ms. Bridget",980,"1","female",3,7.75
"Wells, Master. Ralph Lester",981,"1","male",2,23
"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",982,"1","female",3,13.9
"Pedersen, Mr. Olaf",983,"0","male",3,7.775
"Davidson, Mrs. Thornton (Orian Hays)",984,"1","female",1,52
"Guest, Mr. Robert",985,"0","male",3,8.05
"Birnbaum, Mr. Jakob",986,"0","male",1,26
"Tenglin, Mr. Gunnar Isidor",987,"0","male",3,7.7958
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",988,"1","female",1,78.85
